patent_id,section_code,subclass
10552578,G,G16H
10552578,A,A61J
10552578,B,B65D
10552578,G,G06Q
10552586,G,G06Q
10552586,G,G06F
10552586,H,H04L
10552643,G,G06F
10552650,G,G06K
10552650,A,A61B
10552650,H,H02M
10552666,G,G06V
10552666,G,G06F
10552666,G,G06T
10552673,A,A01K
10552673,A,A61B
10552673,G,G06F
10552673,G,G06T
10552673,G,G06V
10552673,G,G16H
10552701,G,G06F
10552701,G,G06V
10552701,H,H04L
10552702,G,G06V
10552702,G,G06F
10552702,G,G06T
10552758,H,H10N
10552758,H,H01G
10552758,H,H10D
10552762,G,G06N
10552762,G,G05B
10552762,G,G06F
10552768,G,G06Q
10552773,G,G06Q
10552773,G,G06N
10552780,G,G06Q
10552780,G,G06F
10552780,G,G06T
10552784,G,G06Q
10552824,G,G06Q
10552824,G,G07F
10552824,H,H04L
10552824,H,H04M
10552824,H,H04W
10552829,G,G06Q
10552829,H,H04L
10552837,G,G06Q
10552837,G,G06F
10552837,G,G06N
10552839,G,G06Q
10552839,G,G06F
10552862,G,G06Q
10552879,G,G06Q
10552881,G,G06Q
10552881,G,G06F
10552888,G,G06Q
10552888,G,G06V
10552904,G,G06Q
10552904,H,H04L
10552947,G,G06T
10552947,G,G06F
10552963,G,G06T
10552963,G,G02B
10552963,G,G03B
10552963,H,H04N
10552974,G,G06T
10552974,G,G06V
10552974,G,G06Q
10600000,G,G06N
10600009,G,G06Q
10600009,G,G06F
10600009,H,H04L
10552993,G,G06F
10552993,G,G06T
10600049,G,G06Q
10600066,G,G06Q
10600066,G,G06V
10600066,A,A63F
10600082,G,G06Q
10600085,G,G06Q
10600088,G,G06Q
10553043,G,G07C
10553043,F,F16D
10553043,F,F16H
10600117,G,G06Q
10600135,G,G06Q
10600135,G,G05B
10600135,H,H02J
10600135,Y,Y02B
10600135,Y,Y02E
10600135,Y,Y04S
10553060,G,G07C
10553060,B,B60R
10553063,G,G07D
10553083,G,G08B
10553083,G,G05B
10553083,G,G06F
10553085,G,G08B
10553085,G,G06Q
10553085,Y,Y02A
10553092,G,G08B
10553092,G,G06V
10553092,H,H04N
10553094,G,G08B
10553094,B,B65D
10553094,E,E05B
10553105,G,G08C
10553105,H,H04N
10553112,G,G08G
10553112,H,H04L
10553112,H,H04W
10600232,G,G06T
10553171,G,G09G
10553171,G,G02F
10553171,G,G11C
10553176,G,G09G
10600270,G,G07C
10600270,B,B60R
10600272,G,G06Q
10600272,G,G07F
10600299,G,G08B
10553195,G,G10K
10553195,H,H04R
10600307,G,G08B
10600307,G,G01R
10600307,G,G06Q
10600307,H,H04M
10553204,G,G10L
10553204,G,G06F
10553204,H,H04L
10600319,G,G08G
10553212,G,G10L
10553212,B,B60R
10600325,G,G06T
10600325,G,G08G
10600325,B,B64D
10600325,G,G01C
10600325,G,G02B
10600333,G,G09B
10600333,G,G16H
10553238,G,G10L
10553238,G,G06F
10553238,H,H04L
10553238,H,H04R
10553254,G,G11B
10553254,H,H04N
10600371,G,G09G
10600371,G,G06T
10600371,G,G02F
10553297,G,G11C
10553300,G,G11C
10553300,G,G06F
10553307,G,G16H
10553307,G,G06F
10553307,G,G06Q
10553307,G,G16B
10553307,H,H04L
10553307,H,H04W
10600401,G,G10K
10600401,B,B60R
10600401,F,F01N
10553319,G,G16H
10553319,G,G06N
10553319,Y,Y02A
10600420,G,G10L
10600420,H,H04L
10600420,H,H04W
10600424,G,G10L
10553369,H,H01G
10553369,H,H01M
10553369,Y,Y02E
10553369,Y,Y02P
10600469,G,G11C
10600469,H,H10D
10600469,H,H01L
10600469,H,H10B
10600469,Y,Y02D
10553386,H,H01H
10553386,Y,Y10T
10553388,H,H01J
10600488,G,G11C
10553399,H,H01J
10553399,H,H01L
10553409,H,H01J
10553409,B,B08B
10553409,H,H01L
10553429,H,H01L
10553429,H,H10D
10600524,A,A61P
10600524,G,G21F
10600524,A,A41D
10600524,A,A41F
10600524,A,A61N
10600524,A,A62B
10600528,G,G21G
10600528,A,A61K
10600528,B,B01J
10600528,C,C07B
